Source,Target,Weight,edge_type,edge_multiplicity
39,41,1,same-persona,1
39,42,1,same-persona,1
39,43,1,same-persona,1
39,44,1,same-persona,1
39,33,1,same-persona,1
39,45,1,same-persona,1
39,46,1,same-persona,1
39,47,1,same-persona,1
39,48,1,same-persona,1
39,49,1,same-persona,1
40,41,1,same-persona,1
40,42,1,same-persona,1
40,43,1,same-persona,1
40,44,1,same-persona,1
40,33,1,same-persona,1
40,45,1,same-persona,1
40,46,1,same-persona,1
40,47,1,same-persona,1
40,48,1,same-persona,1
40,49,1,same-persona,1
41,42,1,same-persona,1
41,43,1,same-persona,1
41,44,1,same-persona,1
41,33,1,same-persona,1
41,45,1,same-persona,1
41,46,1,same-persona,1
41,47,1,same-persona,1
41,48,1,same-persona,1
41,49,1,same-persona,1
42,43,1,same-persona,1
42,44,1,same-persona,1
42,33,1,same-persona,1
42,45,1,same-persona,1
42,46,1,same-persona,1
42,47,1,same-persona,1
42,48,1,same-persona,1
42,49,1,same-persona,1
43,44,1,same-persona,1
43,33,1,same-persona,1
43,45,1,same-persona,1
43,46,1,same-persona,1
43,47,1,same-persona,1
43,48,1,same-persona,1
43,49,1,same-persona,1
44,33,1,same-persona,1
44,45,1,same-persona,1
44,46,1,same-persona,1
44,47,1,same-persona,1
44,48,1,same-persona,1
44,49,1,same-persona,1
33,45,1,same-persona,1
33,46,1,same-persona,1
33,47,1,same-persona,1
33,48,1,same-persona,1
33,49,1,same-persona,1
45,46,1,same-persona,1
45,47,1,same-persona,1
45,48,1,same-persona,1
45,49,1,same-persona,1
46,47,1,same-persona,1
46,48,1,same-persona,1
46,49,1,same-persona,1
47,48,1,same-persona,1
47,49,1,same-persona,1
48,49,1,same-persona,1
50,51,1,persona-attribute,1
50,52,1,persona-attribute,1
50,53,1,persona-attribute,1
50,49,1,persona-attribute,1
50,54,1,persona-attribute,1
50,55,1,persona-attribute,1
50,56,1,persona-attribute,1
50,57,1,persona-attribute,1
50,58,1,persona-attribute,1
50,59,1,persona-attribute,1
50,60,1,persona-attribute,1
50,61,1,persona-attribute,1
50,62,1,persona-attribute,1
51,52,1,same-persona,1
51,53,1,same-persona,1
51,49,1,same-persona,1
51,54,1,same-persona,1
51,55,1,same-persona,1
51,56,1,same-persona,1
51,57,1,same-persona,1
51,58,1,same-persona,1
51,59,1,same-persona,1
51,60,1,same-persona,1
51,61,1,same-persona,1
51,62,1,same-persona,1
52,53,1,same-persona,1
52,49,1,same-persona,1
52,54,1,same-persona,1
52,55,1,same-persona,1
52,56,1,same-persona,1
52,57,1,same-persona,1
52,58,1,same-persona,1
52,59,1,same-persona,1
52,60,1,same-persona,1
52,61,1,same-persona,1
52,62,1,same-persona,1
53,49,1,same-persona,1
53,54,1,same-persona,1
53,55,1,same-persona,1
53,56,1,same-persona,1
53,57,1,same-persona,1
53,58,1,same-persona,1
53,59,1,same-persona,1
